item_name,item_category,city,base_price,production_cost,fair_wage_multiplier,sustainability_score,local_demand_index,market_avg_price_city,profit_margin_standard,regulatory_adjustment,marketplace
Biography,Books,Pune,994.71,691.72,1.45,8.9,0.59,1075.24,0.25,23.65,Offline Store
Headphones,Electronics,Ahmedabad,265.17,155.19,1.23,7.7,0.67,244.55,0.21,16.28,Offline Store
Self-Help Book,Books,Jaipur,1575.24,867.63,1.31,8,0.73,1730.2,0.17,22.21,Flipkart
Self-Help Book,Books,Pune,417.79,267.96,1.48,8.1,0.38,458.53,0.29,14.25,Own Brand Website
T-shirt,Clothing,Pune,1196.9,797.93,1.32,7.2,0.69,1232.63,0.22,15.15,Flipkart
Remote Car,Toys,Bangalore,1125.01,744.12,1.53,8.4,0.57,1189.35,0.18,21.6,Flipkart
Sunscreen,Cosmetics,Pune,1178.11,577.28,1.3,8.8,0.89,1108.67,0.19,15.84,Offline Store
Doll,Toys,Jaipur,1029.13,713.17,1.34,8.8,0.73,948.28,0.24,21.18,Amazon
Dumbbells,Fitness Equipment,Ahmedabad,1541.09,650.86,1.18,8.4,0.54,1667.71,0.2,5.03,Offline Store
Smartwatch,Electronics,Kolkata,1427.79,791.05,1.22,3.1,0.43,1331.16,0.22,24.24,Flipkart
Perfume,Cosmetics,Lucknow,545.75,332.53,1.54,7.4,0.8,513.47,0.11,14.13,Amazon
Puzzle,Toys,Lucknow,1447.11,876.7,1.58,7.4,0.57,1533.11,0.13,25.33,Flipkart
Flip Flops,Footwear,Jaipur,795.27,354.85,1.14,9.9,0.71,743.46,0.15,14.3,Amazon
Face Wash,Cosmetics,Kolkata,206.21,89.19,1.47,8.5,0.94,188.38,0.28,12.93,Offline Store
Remote Car,Toys,Bangalore,722.92,316.77,1.59,9.9,0.86,663.75,0.27,20.87,Offline Store
Flip Flops,Footwear,Ahmedabad,344.67,164.93,1.43,8.6,0.85,347.69,0.21,22.11,Offline Store
Organic Rice,Groceries,Jaipur,1577.67,711.81,1.46,5.4,0.55,1444.42,0.22,7.34,Flipkart
Electric Kettle,Kitchen Appliances,Jaipur,1834.96,1075.82,1.59,4.7,0.74,2005.4,0.16,7.41,Amazon
Sneakers,Footwear,Delhi,1304.56,665.1,1.2,10,0.79,1300.75,0.11,9.79,Own Brand Website
Smartwatch,Electronics,Delhi,667.68,364.66,1.32,3.2,0.91,673.4,0.1,22.53,Offline Store
Boots,Footwear,Jaipur,235.57,145.19,1.44,9.9,0.52,218.81,0.12,6.79,Flipkart
Yoga Mat,Fitness Equipment,Bangalore,1639.63,1009.3,1.59,5.2,0.82,1506.17,0.28,6.3,Own Brand Website
Textbook,Books,Delhi,1596.98,786.04,1.15,7.9,0.88,1681.34,0.16,13.84,Offline Store
Smartphone,Electronics,Chennai,459.68,297.51,1.11,9.3,0.69,467.85,0.27,21.69,Offline Store
T-shirt,Clothing,Kolkata,678.05,342.32,1.15,6.2,0.37,698.8,0.13,26.6,Amazon
Sweatshirt,Clothing,Bangalore,1430.88,955.05,1.1,8.6,0.87,1300.55,0.3,12.52,Own Brand Website
Honey,Groceries,Bangalore,502.27,263.43,1.05,9.2,0.47,504.44,0.22,24.78,Offline Store
Toaster,Kitchen Appliances,Kolkata,575.39,353.95,1.11,7.9,0.9,527.64,0.12,18.93,Offline Store
Jeans,Clothing,Mumbai,188.16,85.84,1.15,6.4,0.46,187.24,0.2,23.27,Flipkart
Dumbbells,Fitness Equipment,Mumbai,1897.39,1045.7,1.25,4.8,0.71,2065.47,0.25,10.15,Amazon
Laptop,Electronics,Kolkata,1797.28,1115.49,1.12,8,0.49,1794.19,0.16,7.1,Amazon
Headphones,Electronics,Pune,1560.31,1012.03,1.18,4.7,0.58,1657.51,0.12,25.22,Amazon
Puzzle,Toys,Bangalore,1853.17,1053.44,1.08,4.9,0.37,1763.95,0.26,6.39,Amazon
Children Book,Books,Kolkata,639.26,354.84,1.53,4.7,0.81,649.94,0.24,26.54,Flipkart
Foundation,Cosmetics,Hyderabad,150.19,83.94,1.46,9.2,0.39,145.43,0.12,25.87,Flipkart
Children Book,Books,Hyderabad,1729,942.44,1.06,3.7,0.71,1895.89,0.27,24.95,Amazon
Mixer Grinder,Kitchen Appliances,Pune,894.14,621.93,1.5,5.3,0.79,882.07,0.23,29.25,Flipkart
T-shirt,Clothing,Ahmedabad,568.26,362.83,1.37,9.6,0.39,593.23,0.11,11.16,Flipkart
Jeans,Clothing,Chennai,709.62,375.87,1.58,3.5,0.41,667.48,0.18,6.52,Flipkart
Biography,Books,Bangalore,1934.3,1098.6,1.5,8.4,0.73,2090.75,0.28,8.19,Own Brand Website
Resistance Bands,Fitness Equipment,Kolkata,1813.66,1010.51,1.2,7.3,0.48,1806.05,0.26,5.8,Flipkart
Puzzle,Toys,Mumbai,447.87,307.68,1.29,5.1,0.9,484.7,0.11,14.06,Own Brand Website
Action Figure,Toys,Chennai,1834.36,832.67,1.37,5.2,0.78,1708.99,0.22,5,Own Brand Website
